onset	duration	block_duration	correct	correct_response	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	response_time	trial_id	worker_id	junk
3.507864	1.7	2.100136	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.534	stim	s524	False
6.114	1.7	2.1	0.0	89.0	double	attention_network_task	down	left	incongruent	71	0.498	stim	s524	False
8.719	1.7	2.1	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.41	stim	s524	False
11.323592000000001	1.7	2.100408	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.465	stim	s524	False
13.929456	1.7	2.1005439999999997	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.476	stim	s524	False
16.534592	1.7	2.100408	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.474	stim	s524	False
19.14	1.7	2.1	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.419	stim	s524	False
21.745592000000002	1.7	2.100408	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.606	stim	s524	False
24.351	1.7	2.1	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.594	stim	s524	False
26.956592	1.7	2.100408	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.437	stim	s524	False
29.562	1.7	2.1	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.413	stim	s524	False
32.168	1.7	2.1	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.43	stim	s524	False
34.772591999999996	1.7	2.100408	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.521	stim	s524	False
37.378864	1.7	2.100136	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.465	stim	s524	False
39.983728	1.7	2.100272	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.845	stim	s524	False
42.588456	1.7	2.1005439999999997	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.434	stim	s524	False
45.193728	1.7	2.100272	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.558	stim	s524	False
47.8	1.7	2.1	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.979	stim	s524	False
50.404591999999994	1.7	2.100408	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.577	stim	s524	False
53.01	1.7	2.1	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.47	stim	s524	False
55.616	1.7	2.1	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.499	stim	s524	False
58.220456	1.7	2.1005439999999997	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.58	stim	s524	False
60.825592	1.7	2.100408	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.519	stim	s524	False
63.431	1.7	2.1	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.685	stim	s524	False
66.038864	1.7	2.100136	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.604	stim	s524	False
68.644184	1.7	2.100816	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.865	stim	s524	False
71.250864	1.7	2.100136	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.672	stim	s524	False
73.857	1.7	2.1	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.76	stim	s524	False
76.462864	1.7	2.100136	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.577	stim	s524	False
79.067864	1.7	2.100136	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.417	stim	s524	False
81.672864	1.7	2.100136	0.0	89.0	double	attention_network_task	down	left	incongruent	71	0.584	stim	s524	False
84.277456	1.7	2.1005439999999997	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.5	stim	s524	False
86.884	1.7	2.1	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	1.071	stim	s524	False
89.48872800000001	1.7	2.100272	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.54	stim	s524	False
92.095	1.7	2.1	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.55	stim	s524	False
94.699864	1.7	2.100136	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.546	stim	s524	False
97.304592	1.7	2.100408	0.0	71.0	double	attention_network_task	up	right	incongruent	89	0.725	stim	s524	False
99.911456	1.7	2.1005439999999997	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.575	stim	s524	False
102.518	1.7	2.1	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.686	stim	s524	False
105.123864	1.7	2.100136	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.793	stim	s524	False
107.729864	1.7	2.100136	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.523	stim	s524	False
110.333864	1.7	2.100136	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.612	stim	s524	False
112.938864	1.7	2.100136	0.0	71.0	double	attention_network_task	up	right	congruent	-1	n/a	stim	s524	False
115.543728	1.7	2.100272	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.514	stim	s524	False
118.148864	1.7	2.100136	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.44	stim	s524	False
120.753592	1.7	2.100408	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.508	stim	s524	False
123.361	1.7	2.1	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.522	stim	s524	False
125.966864	1.7	2.100136	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.614	stim	s524	False
128.572	1.7	2.1	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.658	stim	s524	False
131.176864	1.7	2.100136	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.59	stim	s524	False
133.782048	1.7	2.1009520000000004	0.0	71.0	spatial	attention_network_task	down	right	congruent	-1	n/a	stim	s524	False
136.387728	1.7	2.100272	1.0	89.0	double	attention_network_task	up	left	congruent	89	1.217	stim	s524	False
138.992864	1.7	2.100136	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.444	stim	s524	False
141.598	1.7	2.1	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.537	stim	s524	False
144.202864	1.7	2.100136	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.808	stim	s524	False
146.809	1.7	2.1	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.655	stim	s524	False
149.413864	1.7	2.100136	0.0	71.0	spatial	attention_network_task	down	right	incongruent	89	0.65	stim	s524	False
152.01972800000001	1.7	2.100272	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.641	stim	s524	False
154.624728	1.7	2.100272	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.481	stim	s524	False
157.229864	1.7	2.100136	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.641	stim	s524	False
159.836	1.7	2.1	0.0	89.0	double	attention_network_task	up	left	incongruent	71	0.82	stim	s524	False
162.439864	1.7	2.100136	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.523	stim	s524	False
165.045	1.7	2.1	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.45	stim	s524	False
167.65072800000002	1.7	2.100272	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.591	stim	s524	False
180.763	1.7	2.1	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.541	stim	s524	False
183.368	1.7	2.1	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.527	stim	s524	False
185.97286400000002	1.7	2.100136	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.553	stim	s524	False
188.577728	1.7	2.100272	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.521	stim	s524	False
191.183592	1.7	2.100408	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.713	stim	s524	False
193.789	1.7	2.1	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.639	stim	s524	False
196.393864	1.7	2.100136	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.523	stim	s524	False
198.998864	1.7	2.100136	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.786	stim	s524	False
201.604	1.7	2.1	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.463	stim	s524	False
204.208592	1.7	2.100408	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.636	stim	s524	False
206.813456	1.7	2.1005439999999997	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	1.16	stim	s524	False
209.419864	1.7	2.100136	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.495	stim	s524	False
212.024864	1.7	2.100136	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.715	stim	s524	False
214.63	1.7	2.1	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.617	stim	s524	False
217.236	1.7	2.1	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.487	stim	s524	False
219.840864	1.7	2.100136	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.555	stim	s524	False
222.446	1.7	2.1	1.0	71.0	double	attention_network_task	down	right	congruent	71	1.495	stim	s524	False
225.051864	1.7	2.100136	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.492	stim	s524	False
227.657	1.7	2.1	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.537	stim	s524	False
230.261592	1.7	2.100408	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	1.763	stim	s524	False
232.866	1.7	2.1	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.427	stim	s524	False
235.47018400000002	1.7	2.100816	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.423	stim	s524	False
238.07532	1.7	2.1006799999999997	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.624	stim	s524	False
240.68	1.7	2.1	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.879	stim	s524	False
243.285864	1.7	2.100136	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.475	stim	s524	False
245.890864	1.7	2.100136	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.533	stim	s524	False
248.495864	1.7	2.100136	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.425	stim	s524	False
251.101	1.7	2.1	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.552	stim	s524	False
253.706864	1.7	2.100136	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.612	stim	s524	False
256.312048	1.7	2.1009520000000004	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.618	stim	s524	False
258.917864	1.7	2.100136	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.488	stim	s524	False
261.52259200000003	1.7	2.100408	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.532	stim	s524	False
264.126048	1.7	2.1009520000000004	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.44	stim	s524	False
266.731864	1.7	2.100136	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.623	stim	s524	False
269.336728	1.7	2.100272	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.618	stim	s524	False
271.941728	1.7	2.100272	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.626	stim	s524	False
274.548	1.7	2.1	1.0	89.0	double	attention_network_task	down	left	congruent	89	1.362	stim	s524	False
277.153	1.7	2.1	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.448	stim	s524	False
279.756728	1.7	2.100272	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.489	stim	s524	False
282.363	1.7	2.1	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.74	stim	s524	False
284.968	1.7	2.1	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.48	stim	s524	False
287.572728	1.7	2.100272	0.0	89.0	double	attention_network_task	down	left	congruent	-1	n/a	stim	s524	False
290.179	1.7	2.1	0.0	89.0	spatial	attention_network_task	up	left	incongruent	71	0.497	stim	s524	False
292.783864	1.7	2.100136	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.528	stim	s524	False
295.389728	1.7	2.100272	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.43	stim	s524	False
297.995	1.7	2.1	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.497	stim	s524	False
300.602	1.7	2.1	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.569	stim	s524	False
303.207	1.7	2.1	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.798	stim	s524	False
305.812	1.7	2.1	0.0	71.0	spatial	attention_network_task	up	right	incongruent	89	0.82	stim	s524	False
308.417	1.7	2.1	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.48	stim	s524	False
311.022	1.7	2.1	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.558	stim	s524	False
313.626728	1.7	2.100272	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.522	stim	s524	False
316.232864	1.7	2.100136	0.0	71.0	double	attention_network_task	up	right	incongruent	-1	n/a	stim	s524	False
318.837912	1.7	2.1010880000000003	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.453	stim	s524	False
321.443728	1.7	2.100272	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.551	stim	s524	False
324.048864	1.7	2.100136	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	1.591	stim	s524	False
326.655864	1.7	2.100136	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.702	stim	s524	False
329.261	1.7	2.1	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.598	stim	s524	False
331.865	1.7	2.1	0.0	71.0	spatial	attention_network_task	down	right	incongruent	-1	n/a	stim	s524	False
334.472	1.7	2.1	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	1.023	stim	s524	False
337.077	1.7	2.1	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.675	stim	s524	False
339.681864	1.7	2.100136	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.562	stim	s524	False
342.285728	1.7	2.100272	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.592	stim	s524	False
344.891864	1.7	2.100136	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.493	stim	s524	False
